URL;Chronologie ;Type d'URL;Type d'auteur ;position ;poids ;lu;acteurs ;;;
http://www.atlantico.fr/decryptage/technologies-pour-persuader-notre-insu-en-plein-boom-avons-moyens-faire-penser-christophe-benavent-2073595.html;mai-16;;;Facilite la vie, interference dans les décisions donc perte de contrôle, Notion de paternalisme en politique;;O;Christophe Benavent;;;
And Lead Us (Not) into Persuasion…? Persuasive Technology and the Ethics of Communication;fevrier 20111;;;trouver un juste milieu entre peruasion et manipulation ;;O;Andreas Spahn;;;
https://www.contrepoints.org/2015/04/07/203643-technologies-persuasives-la-bienveillance-ne-suffit-pas;07-avr-15;;;rendre les plateforme plus attractives , pattenisme politique, alternative a la crise économique;;O;Christophe Bénavent;;;
https://psmag.com/environment/captology-fogg-invisible-manipulative-power-persuasive-technology-81301;14-mai-14;;;Force les gens à faire des choses contre leur gré, outil pour se faire du bénéfice ;;O;Jordan Larson ;;;
http://tempsreel.nouvelobs.com/rue89/rue89-le-grand-entretien/20160604.RUE3072/tristan-harris-des-millions-d-heures-sont-juste-volees-a-la-vie-des-gens.html;;;;;;O;;;;
https://linc.cnil.fr/fr/comment-les-technologies-nous-influencent-et-pourquoi-les-neurosciences-sont-utiles;sept-16;article;journaliste;Les services techniques ont été conçus pour capturer le temps et l'attention des utilisateurs et ne voit pas ce qui leur est utile, garder l'utulisateur le plus logntemps possible car c'est un gain d'argent, illusion de liberté , mécanique aditive ;;O;Olivier Desbiey;;;
http://www.timewellspent.io/;;;;;;O;;;;
http://tempsreel.nouvelobs.com/rue89/rue89-le-grand-entretien/20160604.RUE3072/tristan-harris-des-millions-d-heures-sont-juste-volees-a-la-vie-des-gens.html;juin-16;article;journaliste;manipuation pour nous faire perdre le plus de temps possible, stargétie de persuation, création d'un label par Trsiatn Harris pour nous doner du pouvoir,  internet et le télephone sont omniprésent dans nos vies ;;O;Alice Maruani;;;
http://www.elishean.fr/le-plus-grand-secret-technologie-de-manipulation-du-temps-et-avenir-alternatif/;mars-17;article ;reporters ;"White hacks= ""bon"" hackeur , surveillance et acces à la connaissance contrôlée ,  ";;O;Elishean;;;
http://tempsreel.nouvelobs.com/rue89/rue89-tech/20160616.RUE3167/dix-facons-dont-la-technologie-nous-manipule.html;juin-16;article ;journaliste et ingénieur ;comment la technoogie nous manipule? - orienter nos choix - nous faire miroter le jackpot - la peur de rater une chose importante - inviter nos amis - le jeu de politesse - nous mettre sous perfusion de contenus - les pubs - faire croire que c'est rapide ;;O;Tristan Harris;;;
http://lire-dans-les-pensees.blogspot.fr/p/preuve-de-lexistence-de-technologies-de.html;Décembe-2003;;bloggeur ;Traque les individus, une sociéte encore plus controlée par une élite politique qui est prete à utiliser son arme moderne ;;O;"
 John J. McMurtrey";;;
http://www.epochtimes.fr/defaire-laddiction-a-la-technologie-26117.html;févr-17;article ;journaliste  ;la technologie nous rend addcite aux téléphones , internet, plus de 10h  apr jour sur une sorte de média ;;O;Conan Milner;;;
http://www.lemonde.fr/technologies/article/2014/04/10/big-brother-ce-vendeur_4399335_651865.html;mai-15;article;journaliste/ reporteur  ;Notre ordianteur nous manipule, la technologie nous façonnent  et influence notre cerveau ;;O;Yves Eude ;;;
http://www.leparisien.fr/high-tech/facebook-accuse-de-manipuler-les-sujets-tendance-la-polemique-fait-rage-10-05-2016-5783737.php;mai-16;article ;journaliste ;facebook accusé de manipuler les sujets présents comme tendance, censure des informations ;;O;Merck KGaA;;;
https://pro.merckgroup.com/fr/technologie-fr/%E2%80%89les-gens-sont-faciles-a-manipuler-%E2%80%89/;;artcile ;sociéte ;Tout sera numérique à l'avenir, les gens sont facilement manipulable ;;O;Emily Turrettini;;;
https://www.letemps.ch/opinions/2016/11/20/technologie-persuasive-rend-accros-aux-ecrans;nov-16;article ;journaliste;une durée de vie faible pour augmenter les achets des télephones, technologie persuasive rend accro aux écrans , concevoir de nouveaux moyens pour attirer les consomatteurs,;;O;Valérie de Graffenried ;;;
http://pedagotic.ca/?post/2010/10/11/Les-technologies-am%C3%A9liorent-elles-notre-vie2;oct-10;artcile ;étudiants;internet permet de découvrir et être informé sur le reste de la planète, internet= bibliothèque et offrent aux gens un liberté qu'ils n'ont jamais connu, la technologie améliore la vie et surtout dans l'éduaction par la rapidité et la quantité d'information ;;O;Johannie;;;
http://bien-vivre-chez-soi.com/ces-nouvelles-technologies-qui-facilitent-la-vie/;nov-16;article;particulier;des applications et des inventions qui facilittent la vie: le carde photo-numérique qui permet de partager des photos , la cane intélligente qui détecte les situations  anormales comme la chute, ZAC qui contrôle la maison qui economise notre énergie ;;O;GP Vendome ;;;
http://owl-ge.ch/travaux-d-eleves/2011-2012/article/l-impact-des-nouvelles-technologies-dans-la-societe-actuelle;janv-12;article ;étudiants;On ne peut plus se passer de la technologie, la technologie permet une meilleure productivité des entrprises, la technologie baisse le niveau d'eduaction à cause des réseaux sociaux notamment le niveau d'orthographe ;;O;Olivier Beroud, Edison Kurtaj;;;
http://www.trucsdenana.com/geekette/gadgets-a-gogo/article/16274/le-high-tech-qui-nous-facilite-la-vie;nov-11;article ;journaliste ;une chance de vire au XX eme sicèle, recherche de gadgets qui faciitent la vie: notament le tactile, l'Iphone 4 , le mp5 , radio wifi , téléviseur 3D sans lunette et téléviseur sans fil ;;O;Morgane Derrien ;;;
https://penserlemonde.wordpress.com/2008/06/03/est-ce-que-le-progres-technologique-qui-est-cense-nous-faciliter-l%E2%80%99existence-peut-devenir-un-instrument-d%E2%80%99asservissement/;juin-06;pensée ;philosophe;la technologie apporte de la liberté en offrant une meilleur qualité de vie mais manipule le vivant ;;O;Samedda;;;
http://www.rfi.fr/emission/20130107-1-nouvelles-technologies-sont-elles-nous-faciliter-vie;janv-13;article;journaliste;sans technologie le monde s'écroule mais  parfois elle est agaçante à cause des bugs des sites internet, nouvelles applications comme uber qui fcailitent vraiment la vie des personnes en soirées ;;O;Emmanuel Bastide ;;;
http://lentreprise.lexpress.fr/high-tech-innovation/ces-applis-qui-facilitent-la-vie-de-l-entreprise_1512143.html;avr-13;article;journaliste;omniprésence des applis sur les smartphones en moyaine une quarantaine par smartphone, augmentation des applis utile et professionnel grâce à l'internet mobile, comme ceux qui booste la performence commerciale ;;O;William COOP ;;;
http://www.usinenouvelle.com/article/la-technologie-doit-faciliter-la-vie-des-consommateurs.N185264;nov-12;article;journaliste;la technologie qui fascine est celle qui fascilite la vie des consommateur et non celle qui fait plaisir ;;O;Adrien Cahuzac;;;
http://www.coupdepouce.com/vie-perso/psychologie/article/oui-la-techno-change-nos-vies;oct-14;article;journaliste;médias sociaux populaires, la technologie change notre comprtement + façonnement de notre façon d'interagir avec les autres. Elle a marqué notre vie amoureuse avec l'invention de plusieurs application de rencontre: meetic par exemple, coté santé , des études révelent qu'elle permet la mémorisation, une aide au travail, et un équilibre dans la société avec la communiation sur les réseux avecs les amis. ;;O;A.Href/ coup de pouce ;;;
http://www.e-marketing.fr/Marketing-Magazine/Article/Homme-et-technologie-Une-necessaire-adaptation-mutuelle-12735-1.htm#WbYYyw5TzMfcuAmy.97;mai-04;article;journaliste;le prmier but de la technologie est de simplifier la vie de l'homme, elle a des vertus magiques qui la pousse à devenir intrusive à cause de son omniprésnence qui poussent à la création du low tech par opposition à l'high tech qui la rend invisble ;;O;Rita Mazzoli;;;
http://www.vos-reponses.com/les-objets-high-tech-quelle-place-vie-quotidienne/;;forum;bloggeur ;dépendance des outils informatiques + élargissement de la dépendance permet donc la perte de l'autonomie  mais permet un gain de temps et d'argent. Certains  produits High tech sont utile tel que les prothèses 3D. ;;O;Viaprestige;;;
http://www.linternaute.com/bricolage/magazine/1224652-objets-connectes-pour-la-maison/;avr-15;article;journaliste;objets connectés censés nous remplacer mais sont risques de piratage d'informations personelles;;O;Hélène David ;;;
http://fr.blastingnews.com/opinions/2015/06/quel-est-l-impact-de-la-technologie-sur-notre-societe-actuelle-00420243.html;juin-15;opinion ;bloggeuse ;apport d'un lot d'avantage et d'élements positifs pour la sociéte: bon moyen pour se divertir et de faire les choses plus rapidement, Mais ce monde virtuel devient une réalité pour les dépendants, la tricherie en classe augment à cause d'internet et des corrections qui existent. elle est aussi conséquence d'inégalité à caue du coût ;;O;Sabribrii;;;
http://www.francesoir.fr/societe-science-tech/nouvelles-technologies-les-francais-positifs-mais-mefiants;mars-16;article;journaliste;effet positif= gain de temps / effet négatif= détérioration des relations humaines le rende dépendant et prend trop de place, la technologie doit protéger les données personnelles et être plus humaine pour evoluer dans le bon sens. ;;O;rédaction de France soir ;;;
http://www.cerveauetpsycho.fr/ewb_pages/a/article-consequences-psychiques-des-nouvelles-technologies-32476.php;janvier-fevrier-2014; article;psychothérapeute;les technologies nous fot perdre notre temps, elle permet un trouble de la mémoire et de l'attention, ;;O;Jean Charles Naaybi;;;
http://carrefour-education.qc.ca/nouvelles/les_nouvelles_technologies_de_communication_nont_pas_que_des_effets_positifs;nov-14;article;bloggeur ;surexposition aux ecrans entraine des problèmes de santé, ;;O;tremblayj;;;
https://www.facebook.com/groups/743579032459475/permalink/815200018630709/;mai 20177;debat;facebook;Fidéliser le client, on est manipulés par des concepts fabriqués de toute pièce, les gens dedient leur vie pour faire des etudes sur les persuasives technologies pour gagner de l'agent;;;;;;
